date,equity
2024-12-11,467462665.0
2024-12-12,466791523.0
2024-12-13,466014060.0
2024-12-16,465754194.0
2024-12-17,464274975.0
2024-12-18,464471619.0
2024-12-19,462170929.0
2024-12-20,462009944.0
2024-12-23,462242040.0
2024-12-24,462489819.0
2024-12-25,469207225.0
2024-12-26,471142046.0
2024-12-27,474590673.0
2024-12-30,475862060.0
2024-12-31,475383345.0
2025-01-02,474704362.0
2025-01-03,469726225.0
2025-01-06,469669848.0
2025-01-07,472044519.0
2025-01-08,469534295.0
2025-01-09,468461346.0
2025-01-10,463410193.0
2025-01-13,463299539.0
2025-01-14,461473569.0
2025-01-15,461350256.0
2025-01-16,461756056.0
2025-01-17,463127610.0
2025-01-20,463598328.0
2025-01-21,462568977.0
2025-01-22,460569151.0
2025-01-23,464937889.0
2025-01-24,465106672.0
2025-02-03,458157826.0
2025-02-04,461641168.0
2025-02-05,460699155.0
2025-02-06,461929386.0
2025-02-07,465541418.0
2025-02-10,465987532.0
2025-02-11,466496546.0
2025-02-12,467304079.0
2025-02-13,468871346.0
2025-02-14,467606387.0
2025-02-17,465341657.0
2025-02-18,470465621.0
2025-02-19,470796467.0
2025-02-20,473913828.0
2025-02-21,475292392.0
2025-02-24,477643419.0
2025-02-25,478202218.0
2025-02-26,476425400.0
2025-02-27,475934669.0
2025-02-28,474154568.0
2025-03-03,475220188.0
2025-03-04,476734432.0
2025-03-05,475446284.0
2025-03-06,479353513.0
2025-03-07,480862608.0
2025-03-10,484545075.0
2025-03-11,484376958.0
2025-03-12,485638697.0
2025-03-13,482485795.0
2025-03-14,481990880.0
2025-03-17,483496604.0
2025-03-18,480736855.0
2025-03-19,478305949.0
2025-03-20,477979232.0
2025-03-21,474649491.0
2025-03-24,474404030.0
2025-03-25,473812351.0
2025-03-26,471718257.0
2025-03-27,470481872.0
2025-03-28,469637233.0
2025-03-31,466163804.0
2025-04-01,471048442.0
2025-04-02,469984958.0
2025-04-03,461267030.0
2025-04-04,465516622.0
2025-04-08,461356622.0
2025-04-09,463826622.0
2025-04-10,468896622.0
2025-04-11,473136467.0
2025-04-14,473136467.0
2025-04-15,472264867.0
2025-04-16,471218017.0
2025-04-17,474515692.0
2025-04-18,466140578.0
2025-04-21,463887995.0
2025-04-22,467627995.0
2025-04-23,473822995.0
2025-04-24,480207995.0
2025-04-25,478801970.0
2025-04-28,478771970.0
2025-04-29,481036359.0
2025-05-05,484321359.0
2025-05-06,488881359.0
2025-05-07,494973684.0
2025-05-08,499773684.0
2025-05-09,496163684.0
2025-05-12,499038684.0
2025-05-13,497443684.0
2025-05-14,496885625.0
2025-05-15,493387218.0
2025-05-16,494079443.0
2025-05-19,500160578.0
2025-05-20,507533663.0
2025-05-21,514075449.0
2025-05-22,513334888.0
2025-05-23,513412619.0
2025-05-26,515654260.0
2025-05-27,515356528.0
2025-05-28,518510394.0
2025-05-29,522292999.0
2025-05-30,517869280.0
2025-06-02,519226182.0
2025-06-03,520067475.0
2025-06-04,519654111.0
2025-06-05,520737057.0
2025-06-06,517588259.0
2025-06-09,514276567.0
2025-06-10,517394403.0
2025-06-11,514413457.0
2025-06-12,519117950.0
2025-06-13,517506644.0
2025-06-16,523868274.0
2025-06-17,527718149.0
2025-06-18,529770167.0
2025-06-19,532038062.0
2025-06-20,531482261.0
2025-06-23,530756518.0
2025-06-24,525370089.0
